"date","retweet","total_count"
2016-10-06,FALSE,37267
2016-10-06,TRUE,47814
2016-10-07,FALSE,48657
2016-10-07,TRUE,64505
2016-10-08,FALSE,33585
2016-10-08,TRUE,54327
2016-10-09,FALSE,33640
2016-10-09,TRUE,65121
2016-10-10,FALSE,48854
2016-10-10,TRUE,67549
2016-10-11,FALSE,55545
2016-10-11,TRUE,91037
2016-10-12,FALSE,68824
2016-10-12,TRUE,110742
2016-10-13,TRUE,104340
2016-10-13,FALSE,80473
2016-10-14,FALSE,46576
2016-10-14,TRUE,67883
2016-10-15,FALSE,33800
2016-10-15,TRUE,65849
2016-10-16,TRUE,70108
2016-10-16,FALSE,41472
2016-10-17,TRUE,68832
2016-10-17,FALSE,48295
2016-10-18,FALSE,45393
2016-10-18,TRUE,58151
2016-10-19,FALSE,49401
2016-10-19,TRUE,77426
2016-10-20,TRUE,70074
2016-10-20,FALSE,52012
2016-10-21,FALSE,42307
2016-10-21,TRUE,52850
2016-10-22,FALSE,31792
2016-10-22,TRUE,47680
2016-10-23,FALSE,37325
2016-10-23,TRUE,58807
2016-10-24,FALSE,52383
2016-10-24,TRUE,89055
2016-10-25,FALSE,39986
2016-10-25,TRUE,61810
2016-10-26,TRUE,58822
2016-10-26,FALSE,39277
2016-11-03,TRUE,213967
2016-11-03,FALSE,141993
2016-11-04,FALSE,83628
2016-11-04,TRUE,144439
2016-11-05,TRUE,81684
2016-11-05,FALSE,44721
2016-11-06,FALSE,51073
2016-11-06,TRUE,91560
2016-11-07,FALSE,56112
2016-11-07,TRUE,75336
2016-11-08,TRUE,130570
2016-11-08,FALSE,68719
2016-11-09,FALSE,270406
2016-11-09,TRUE,775355
2016-11-10,FALSE,53622
2016-11-10,TRUE,102991
2016-11-11,FALSE,44384
2016-11-11,TRUE,70898
2016-11-12,FALSE,30569
2016-11-12,TRUE,55417
2016-11-13,FALSE,28793
2016-11-13,TRUE,49637
2016-11-14,FALSE,32617
2016-11-14,TRUE,46435
2016-11-15,FALSE,57668
2016-11-15,TRUE,92383
2016-11-16,TRUE,85583
2016-11-16,FALSE,45390
2016-11-17,TRUE,64091
2016-11-17,FALSE,40061
2016-11-18,FALSE,35350
2016-11-18,TRUE,51803
2016-11-19,TRUE,5463
2016-11-19,FALSE,4378
2016-12-03,FALSE,21533
2016-12-03,TRUE,40575
2016-12-04,TRUE,53242
2016-12-04,FALSE,32844
2016-12-05,FALSE,48652
2016-12-05,TRUE,74523
2016-12-06,FALSE,61976
2016-12-06,TRUE,85399
2016-12-07,TRUE,82020
2016-12-07,FALSE,53114
2016-12-08,FALSE,40964
2016-12-08,TRUE,61652
2016-12-09,FALSE,32050
2016-12-09,TRUE,48767
2016-12-10,FALSE,22298
2016-12-10,TRUE,41470
2016-12-11,FALSE,24409
2016-12-11,TRUE,47686
2016-12-12,FALSE,28585
2016-12-12,TRUE,45158
2016-12-13,TRUE,45762
2016-12-13,FALSE,28474
2016-12-14,FALSE,28764
2016-12-14,TRUE,47471
2016-12-15,FALSE,40645
2016-12-15,TRUE,68315
2016-12-16,FALSE,25903
2016-12-16,TRUE,38451
2016-12-17,FALSE,18473
2016-12-17,TRUE,36415
2016-12-18,TRUE,45288
2016-12-18,FALSE,24579
2016-12-19,FALSE,23185
2016-12-19,TRUE,36673
2016-12-20,TRUE,51419
2016-12-20,FALSE,28284
2016-12-21,TRUE,47374
2016-12-21,FALSE,25693
2016-12-22,FALSE,18261
2016-12-22,TRUE,28297
2016-12-23,TRUE,26588
2016-12-23,FALSE,19743
2016-12-24,TRUE,24980
2016-12-24,FALSE,17456
2016-12-25,TRUE,17347
2016-12-25,FALSE,11740
2016-12-26,FALSE,17759
2016-12-26,TRUE,41906
2016-12-27,TRUE,35234
2016-12-27,FALSE,19402
2016-12-28,TRUE,14351
2016-12-28,FALSE,10653
2016-12-29,TRUE,16064
2016-12-29,FALSE,9805
2016-12-30,TRUE,26850
2016-12-30,FALSE,18722
2016-12-31,FALSE,16485
2016-12-31,TRUE,27770
